Title,URL,Location,Paid Status,Category,Urgency,Date & Time,Price,Host
Undescribed #10 - Artist Guided Tour,https://www.eventbrite.sg/e/undescribed-10-artist-guided-tour-tickets-1325086682939?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,"Sat, Jun 28 •  2:30 PM",From $0.00,DECK
Summer Evening,https://www.eventbrite.sg/e/summer-evening-tickets-1312773704489?aff=ebdssbdestsearch,"Singapore, ",paid,other,Sales end soon,Tomorrow • 4:00 PM,From $0.00,"Swiss Club, Singapore"
Korean Style Shio Pan,https://www.eventbrite.sg/e/korean-style-shio-pan-tickets-1257859665119?aff=ebdssbdestsearch,"Singapore, ",paid,food-and-drink,Almost full,"Sun, Jun 15 •  2:30 PM",From $208.56,The Vanilla Bean SG
IMPROV FAMILY COMEDY by Heartsmith & Grace Under Fire,https://www.eventbrite.sg/e/improv-family-comedy-by-heartsmith-grace-under-fire-tickets-1300265732809?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Almost full,Today • 8:00 PM,From $27.31,Larks Improv Theatre
弯LOVE PRIDE Party,https://www.eventbrite.sg/e/love-pride-party-tickets-1313368292919?aff=ebdssbdestsearch,"Singapore, Singapore",paid,music,,"Sat, Jun 28 •  10:00 PM",From $30.44,Flux Asia
Let's Talk Phonetics,https://www.eventbrite.sg/e/lets-talk-phonetics-tickets-1313770756699?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,,"Sat, Jun 21 •  11:00 AM",From $38.00,Joseph Wong
Zenato Wine Dinner,https://www.eventbrite.sg/e/zenato-wine-dinner-tickets-1353009741559?aff=ebdssbdestsearch,"Singapore, ",paid,food-and-drink,Sales end soon,Tuesday • 7:00 PM,From $228.00,Crystal Wines Singapore
Once Upon a Song - June Holiday Singing Camp | Recommended for Ages 7-12,https://www.eventbrite.sg/e/once-upon-a-song-june-holiday-singing-camp-recommended-for-ages-7-12-tickets-1336337384089?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,"Mon, Jun 23 •  9:00 AM",From $0.00,The Voice Company
TRAJECTORY by The Perched Nomads,https://www.eventbrite.sg/e/trajectory-by-the-perched-nomads-tickets-1307819706949?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Going fast,Tomorrow • 8:00 PM,From $27.31,Larks Improv Theatre
Radiant Festival by Secret Sunrise,https://www.eventbrite.sg/e/radiant-festival-by-secret-sunrise-tickets-1336521113629?aff=ebdssbdestsearch,"Singapore, ",paid,community,,Today • 6:30 PM,From $58.73,Secret Sunrise Singapore
PSLE English Oral SBC Workshop  - 11 June 2025,https://www.eventbrite.sg/e/psle-english-oral-sbc-workshop-11-june-2025-tickets-1014324741607?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Wed, Jun 11 •  9:00 AM",From $230.00,Discovering Potential Pte Ltd
PSLE English Oral SBC Workshop - 11 June 2025,https://www.eventbrite.sg/e/psle-english-oral-sbc-workshop-11-june-2025-tickets-1014324741607?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Wed, Jun 11 • 9:00 AM",From $230.00,"Singapore Shopping Centre, 6th Floor (150m from Dhoby Ghaut MRT)"
Design your own meadow memory,https://www.eventbrite.sg/e/design-your-own-meadow-memory-tickets-1336586168209?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Going fast,,From $3.00,i Light Singapore 2025
Personal Values Certification | Map of Me (Singapore),https://www.eventbrite.com.au/e/personal-values-certification-map-of-me-singapore-registration-1119453608879?aff=ebdssbdestsearch,"Singapore, ",paid,business,,"Thu, Jun 12 •  9:00 AM","From $2,495.00",Map of Me
正念基础课程 Chinese Mindfulness Foundation Course by Hsueh Ya Wen-NT20250618CMFC,https://www.eventbrite.sg/e/chinese-mindfulness-foundation-course-by-hsueh-ya-wen-nt20250618cmfc-tickets-1263621047569?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"Wed, Jun 18 •  10:00 AM",From $0.00,Brahm Centre 百仁中心
Zheng Encounters,https://www.eventbrite.sg/e/zheng-encounters-tickets-1298188208879?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,Stamford Arts Centre,From $38.00,
PAKKA LOCAL SINGAPORE Ch 1 ft Yung Raja,https://www.eventbrite.com/e/pakka-local-singapore-ch-1-ft-yung-raja-tickets-1330568780039?aff=ebdssbdestsearch,"Singapore, ",paid,music,,"Fri, Jun 20 •  10:00 PM",From $0.00,Hard Rock Cafe
BNI Elite Business Networking Event,https://www.eventbrite.com/e/bni-elite-business-networking-event-tickets-1302132987819?aff=ebdssbdestsearch,"Singapore, ",paid,business,Sales end soon,Tuesday • 7:30 AM + 6 more,From $75.00,BNI Elite Singapore
Business Networking with BNI Infinity,https://www.eventbrite.com/e/business-networking-with-bni-infinity-tickets-853241667797?aff=ebdssbdestsearch,"Singapore, ",paid,business,Sales end soon,Tuesday • 8:30 AM + 31 more,From $45.00,BNI Infinity
April Showers Bring May Flowers and June's Bugs (ASBMFJB),https://www.eventbrite.com/e/april-showers-bring-may-flowers-and-junes-bugs-asbmfjb-tickets-1342411511969?aff=ebdssbdestsearch,"Singapore, ",paid,music,Going fast,Tomorrow • 6:30 AM,From $15.00,Enclavebar
TRANCE4M International ft AMY WILES (Anjunabeats) Singapore Debut Show,https://www.eventbrite.sg/e/trance4m-international-ft-amy-wiles-anjunabeats-singapore-debut-show-tickets-1342480428099?aff=ebdssbdestsearch,"Singapore, Singapore",paid,music,Sales end soon,Today • 10:30 PM,From $48.26,TRANCE4M
Visit to The Gem Museum (April to June 2025),https://www.eventbrite.sg/e/visit-to-the-gem-museum-april-to-june-2025-tickets-1270088281239?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Tomorrow • 11:00 AM + 94 more,From $0.00,The Gem Museum
International Pilates Asia Congress (IPAC) 2025,https://www.eventbrite.sg/e/international-pilates-asia-congress-ipac-2025-tickets-1263756653169?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"Fri, Jul 4 •  7:30 AM",From $520.40,Tzu Chi Humanistic Youth Centre (HYC)
PINK PONY COMEDY CLUB,https://www.eventbrite.sg/e/pink-pony-comedy-club-tickets-1340576593679?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Almost full,"Sat, Jun 7 •  8:00 PM",From $22.05,Larks Improv Theatre
First Aid For Helpers - Central - 10% Off Promo,https://www.eventbrite.sg/e/first-aid-for-helpers-central-10-off-promo-tickets-1251467937289?aff=ebdssbdestsearch,"Singapore, ",paid,health,Going fast,"Sat, Jun 14 •  9:00 AM",From $151.98,First Aid Tuition
Asia Tech Expo,https://www.eventbrite.co.uk/e/asia-tech-expo-tickets-849596625377?aff=ebdssbdestsearch,"Singapore, ",paid,science-and-tech,,"Tue, Sep 30 •  9:00 AM",From $0.00,Expo Series
SSF (Season 2) - Tour C [Haunting Tales of Ubin],https://www.eventbrite.sg/e/ssf-season-2-tour-c-haunting-tales-of-ubin-tickets-1330675559419?aff=ebdssbdestsearch,"Singapore, ",paid,travel-and-outdoor,Almost full,"Sat, Jun 14 •  6:00 PM",From $93.53,SOMETHING STRANGE FESTIVAL (SSF)
Tech Summit Asia,https://www.eventbrite.co.uk/e/tech-summit-asia-tickets-903177116067?aff=ebdssbdestsearch,"Singapore, ",paid,science-and-tech,,"Tue, Sep 30 •  9:00 AM",From $103.16,Tech Summit
Portrait Drawing: Clothed Model – Guided Session,https://www.eventbrite.sg/e/portrait-drawing-clothed-model-guided-session-tickets-1262037541259?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Going fast,Thursday • 7:00 PM,From $47.05,Chalk N Pencils
Singles Party @ Spectrum by Phil Studio- Enjoy Dance Music & Comedy,https://www.eventbrite.sg/e/singles-party-spectrum-by-phil-studio-enjoy-dance-music-comedy-tickets-1313602162429?aff=ebdssbdestsearch,"Singapore, ",paid,music,,Wednesday • 6:30 PM,From $22.05,iDatings
DesignTinkers 5-day Camp 1,https://www.eventbrite.sg/e/designtinkers-5-day-camp-1-tickets-1318212762859?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,Monday • 9:30 AM,From $800.00,DesignTinkers Pte Ltd
Discover Public Speaking with Toastmasters @ Sheraton Towers,https://www.eventbrite.sg/e/discover-public-speaking-with-toastmasters-sheraton-towers-tickets-1292578108919?aff=ebdssbdestsearch,"Singapore, ",paid,business,,"Mon, Jun 9 •  6:30 PM",From $25.00,Toastmasters Club of Singapore (TMCS)
Saturday Singles Social (31 May 25),https://www.eventbrite.sg/e/saturday-singles-social-31-may-25-tickets-1335352749019?aff=ebdssbdestsearch,"Singapore, ",paid,community,Sales end soon,Tomorrow • 6:00 PM,From $11.63,Whiskers and Wine
Public Speaking Masterclass: How to Create a Memorable Image,https://www.eventbrite.sg/e/public-speaking-masterclass-how-to-create-a-memorable-image-tickets-1261210447399?aff=ebdssbdestsearch,"Singapore, ",paid,business,,"Fri, Jun 6 •  7:00 PM",From $20.00,Money Mastery (Singapore) Toastmasters Club
WINGIN' IT by Bird of the Absurd,https://www.eventbrite.sg/e/wingin-it-by-bird-of-the-absurd-tickets-1307745956359?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Sales end soon,Tomorrow • 5:00 PM,From $27.31,Larks Improv Theatre
5s Introduction to Graffiti Spray Painting on Canvas Holiday Bootcamp,https://www.eventbrite.sg/e/5s-introduction-to-graffiti-spray-painting-on-canvas-holiday-bootcamp-tickets-1244289245629?aff=ebdssbdestsearch,"Singapore, ",paid,holiday,,Wednesday • 1:30 PM + 44 more,From $732.46,Visual Arts Centre - above Dhoby Ghaut MRT exit B
4s Digital Art: Character Costume Design Holiday Course,https://www.eventbrite.sg/e/4s-digital-art-character-costume-design-holiday-course-tickets-1244293438169?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Sales end soon,Monday • 2:30 PM + 74 more,From $504.04,Visual Arts Centre - above Dhoby Ghaut MRT exit B
Mothers' Wellbeing Modular Programme - Aqua & Movement for Wellbeing,https://www.eventbrite.sg/e/mothers-wellbeing-modular-programme-aqua-movement-for-wellbeing-registration-1232109134589?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Monday • 9:00 AM,From $37.78,Centre for Community Wellbeing LLP
Floating Sound Bath in Hammock,https://www.eventbrite.sg/e/floating-sound-bath-in-hammock-tickets-1145465471059?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Sunday • 4:30 AM + 13 more,From $62.53,Ministry of Yoga Wellness
Touché Amoré - Live in Singapore,https://www.eventbrite.sg/e/touche-amore-live-in-singapore-tickets-1343776304099?aff=ebdssbdestsearch,"Singapore, ",paid,music,,"Wed, Jul 23 •  7:30 PM",From $95.40,Asymmetry
"Reset, Release, Realign Small Group Breathwork Session",https://www.eventbrite.sg/e/reset-release-realign-small-group-breathwork-session-tickets-1272617014749?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,"Fri, Jun 6 •  3:30 PM  + 4 more",From $53.49,417454
